year,2010,2010,2011,2011,2012,2012,2013,2013,2014,2014,2015,2015,2016,2016
type,jobs,time,jobs,time,jobs,time,jobs,time,jobs,time,jobs,time,jobs,time
groupes,,,,,,,,,,,,,,
bio,4,8,0,0,11,0,723,68,28576,63368,7641,14514,0,0
cbp,0,0,0,0,11,213,1240,1303208,35969,1202722,25578,857983,20601,1293044
cbvi,114,1212,8,336,0,0,0,0,0,0,0,0,0,0
cecam,33,46,328,510586,13613,977227,19231,448672,0,0,0,0,0,0
chimie,29214,4630194,74253,14356972,59796,10810222,56830,10328944,84046,19473777,99092,17298388,143542,15737888
ciri,0,0,0,0,0,0,0,0,0,0,1815,2584,6919,5004
cral,2278,640350,1770,1355247,3706,1215036,4030,2398430,4326,2077788,6445,2965027,11102,2110163
cssi,0,0,1,0,0,0,0,0,0,0,0,0,932,1228672
dpm,333,74350,685,57893,313,77201,893,308827,0,0,0,0,0,0
geol,979,373058,907,161156,2379,473386,1918,267065,4578,665647,6674,1917916,1481,265729
icbms,0,0,0,0,0,0,0,0,0,0,8,26,197,19435
igfl,0,0,7,86,40537,54817,21551,22600,30264,57438,605298,5519722,174685,107223
ihrim,0,0,0,0,0,0,0,0,0,0,0,0,3,0
ilm,8,121,0,0,0,0,2697,389044,44224,4259972,74123,4031472,137249,4511638
invite,0,0,0,0,34,0,0,0,0,0,0,0,0,0
ipag,0,0,0,0,0,0,0,0,2,0,0,0,4,0
isa,0,0,0,0,0,0,0,0,0,0,0,0,160,10891
ixxi,0,0,0,0,0,0,0,0,0,0,0,0,1,0
lasim,727,58458,6190,572566,10748,466688,7004,577225,0,0,0,0,0,0
lbmc,1405,511086,1367,241258,3404,1601497,15272,816469,17164,1036563,15937,51253,62890,389055
lip,0,0,0,0,8,3121,3485,96942,7,0,34066,1108894,30996,276801
lmfa,0,0,0,0,0,0,0,0,0,0,0,0,189,93728
lmfaecl,2,470,0,0,0,0,0,0,552,3599944,733,3784361,326,573522
los,0,0,1,11,0,0,0,0,0,0,0,0,236,1328447
maply,0,0,32,1624,89,4952,36,5572,0,0,0,0,0,0
phys,1428,664977,173622,1642536,800105,2602808,992274,5092111,1319192,4228444,1642450,5444250,853654,4960916
psmn,0,0,0,0,0,0,33,0,76,5032,2,97,17,0
rdp,0,0,0,0,0,0,49050,441438,27607,811800,163583,540541,748353,1225852
rmn,316,1562,238,3882,93,1039,772,8245,2408,21056,215,267,27,0
root,0,0,0,0,0,0,0,0,1,0,1,0,1,0
umpa,476,4034,900,7489,253,5682,362,42833,110,7404,239,19209,888,103868
uucp,0,0,0,0,0,0,8,49,0,0,0,0,0,0
wheel,0,0,0,0,3,0,0,0,0,0,0,0,0,0
